Date,Time,Home,Away,Attendance,Venue
20-Nov-22,19:00 (21:30),Qatar ,Ecuador,67372.00,Al Bayt Stadium
21-Nov-22,16:00 (18:30),England,Iran,45334.00,Khalifa International Stadium
21-Nov-22,19:00 (21:30),Senegal,Netherlands,41721.00,Al Thumama Stadium
21-Nov-22,22:00 (00:30),USA,Wales,43418.00,Ahmed bin Ali Stadium
22-Nov-22,13:00 (15:30),Argentina,Saudi Arabia,88012.00,Lusail Iconic Stadium
22-Nov-22,16:00 (18:30),Denmark,Tunisia,42925.00,Education City Stadium
22-Nov-22,19:00 (21:30),Mexico,Poland,39369.00,Stadium 974
22-Nov-22,22:00 (00:30),France,Australia,40875.00,Al Janoub Stadium
23-Nov-22,13:00 (15:30),Morocco,Croatia,59407.00,Al Bayt Stadium
23-Nov-22,16:00 (18:30),Germany,Japan,42608.00,Khalifa International Stadium
23-Nov-22,19:00 (21:30),Spain,Costa Rica,40013.00,Al Thumama Stadium
23-Nov-22,22:00 (00:30),Belgium,Canada,40432.00,Ahmed bin Ali Stadium
24-Nov-22,13:00 (15:30),Switzerland,Cameroon,39089.00,Al Janoub Stadium
24-Nov-22,16:00 (18:30),Uruguay ,Korea Republic,41663.00,Education City Stadium
24-Nov-22,19:00 (21:30),Portugal,Ghana,42662.00,Stadium 974
24-Nov-22,22:00 (00:30),Brazil,Serbia,88103.00,Lusail Iconic Stadium
25-Nov-22,13:00 (15:30),Wales,Iran,40875.00,Ahmed bin Ali Stadium
25-Nov-22,16:00 (18:30),Qatar ,Senegal,41797.00,Al Thumama Stadium
25-Nov-22,19:00 (21:30),Netherlands,Ecuador,44833.00,Khalifa International Stadium
25-Nov-22,22:00 (00:30),England,USA,68463.00,Al Bayt Stadium
26-Nov-22,13:00 (15:30),Tunisia,Australia,41823.00,Al Janoub Stadium
26-Nov-22,16:00 (18:30),Poland,Saudi Arabia,44259.00,Education City Stadium
26-Nov-22,19:00 (21:30),France,Denmark,42860.00,Stadium 974
26-Nov-22,22:00 (00:30),Argentina,Mexico,88966.00,Lusail Iconic Stadium
27-Nov-22,13:00 (15:30),Japan, Costa Rica,41479.00,Ahmed bin Ali Stadium
27-Nov-22,16:00 (18:30),Belgium,Morocco,43738.00,Al Thumama Stadium
27-Nov-22,19:00 (21:30),Croatia,Canada,44374.00,Khalifa International Stadium
27-Nov-22,22:00 (00:30),Spain,Germany,68895.00,Al Bayt Stadium
28-Nov-22,13:00 (15:30),Cameroon,Serbia,39789.00,Al Janoub Stadium
28-Nov-22,16:00 (18:30),Korea Republic,Ghana,43983.00,Education City Stadium
28-Nov-22,19:00 (21:30),Brazil,Switzerland,43649.00,Stadium 974
28-Nov-22,22:00 (00:30),Portugal,Uruguay,88668.00,Lusail Iconic Stadium
29-Nov-22,18:00 (20:30),Ecuador,Senegal,44569.00,Khalifa International Stadium
29-Nov-22,18:00 (20:30),Netherlands, Qatar,66784.00,Al Bayt Stadium
29-Nov-22,22:00 (00:30),Iran,USA,42127.00,Al Thumama Stadium
29-Nov-22,22:00 (00:30),Wales,England,44297.00,Ahmed bin Ali Stadium
30-Nov-22,18:00 (20:30),Australia,Denmark,41232.00,Al Janoub Stadium
30-Nov-22,18:00 (20:30),Tunisia,France,43627.00,Education City Stadium
30-Nov-22,22:00 (00:30),Saudi Arabia,Mexico,84985.00,Lusail Iconic Stadium
30-Nov-22,22:00 (00:30),Poland,Argentina,44089.00,Stadium 974
01-Dec-22,18:00 (20:30),Canada,Morocco,43102.00,Al Thumama Stadium
01-Dec-22,18:00 (20:30),Croatia,Belgium,43984.00,Ahmed bin Ali Stadium
01-Dec-22,22:00 (00:30),Costa Rica ,Germany,67054.00,Al Bayt Stadium
01-Dec-22,22:00 (00:30),Japan,Spain,44851.00,Khalifa International Stadium
02-Dec-22,18:00 (20:30),Korea Republic,Portugal,44097.00,Education City Stadium
02-Dec-22,18:00 (20:30),Ghana, Uruguay,43443.00,Al Janoub Stadium
02-Dec-22,22:00 (00:30),Cameroon,Brazil,85986.00,Lusail Iconic Stadium
02-Dec-22,22:00 (00:30),Serbia,Switzerland,41378.00,Stadium 974
03-Dec-22,18:00 (20:30),Netherlands,USA,44846.00,Khalifa International Stadium
03-Dec-22,22:00 (00:30),Argentina,Australia,45032.00,Ahmed bin Ali Stadium
04-Dec-22,18:00 (20:30),France,Poland,40989.00,Al Thumama Stadium (Neutral Site)
04-Dec-22,22:00 (00:30),England,Senegal,65985.00,Al Bayt Stadium
05-Dec-22,18:00 (20:30),Japan,Croatia,42523.00,Al Janoub Stadium
05-Dec-22,22:00 (00:30),Brazil,Korea Republic,43847.00,Stadium 974
06-Dec-22,18:00 (20:30),Morocco,Spain,44667.00,Education City Stadium
06-Dec-22,22:00 (00:30),Portugal,Switzerland,83720.00,Lusail Iconic Stadium
09-Dec-22,18:00 (20:30),Croatia,Brazil,43893.00,Education City Stadium
09-Dec-22,22:00 (00:30),Netherlands,Argentina,88235.00,Lusail Iconic Stadium
10-Dec-22,18:00 (20:30),Morocco,Portugal,44198.00,Al Thumama Stadium
10-Dec-22,22:00 (00:30),England,France,68895.00,Al Bayt Stadium
13-Dec-22,22:00 (00:30),Argentina,Croatia,88966.00,Lusail Iconic Stadium
14-Dec-22,22:00 (00:30),France,Morocco,68294.00,Al Bayt Stadium
17-Dec-22,18:00 (20:30),Croatia,Morocco,44137.00,Khalifa International Stadium
18-Dec-22,18:00 (20:30),Argentina,France,88966.00,Lusail Iconic Stadium
